Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
51377-64215,RB,Karan,Karan Higdon Jr.,Higdon Jr.,0,0,4500,HOU@JAC,HOU,JAC,,,
51377-92890,WR,Cody,Cody White,White,0,1,4500,PIT@DAL,PIT,DAL,,,
51377-64222,RB,Jordan,Jordan Glasgow,Glasgow,0,2,4500,BAL@IND,IND,BAL,,,
51377-40674,WR,Jester,Jester Weah,Weah,0,1,4500,NYG@WAS,WAS,NYG,,,
51377-70372,WR,Chester,Chester Rogers,Rogers,3.770000076,10,4500,CHI@TEN,TEN,CHI,,,
51377-56041,RB,Khari,Khari Blasingame,Blasingame,0.666666667,3,4500,CHI@TEN,TEN,CHI,,,
51377-64242,WR,Keke,Keke Coutee,Coutee,0.100000001,1,4500,HOU@JAC,HOU,JAC,,,
51377-71413,WR,Kendrick,Kendrick Rogers,Rogers,0,1,4500,PIT@DAL,DAL,PIT,,,
51377-71414,WR,Quartney,Quartney Davis,Davis,0,0,4500,DET@MIN,MIN,DET,,,
51377-56059,WR,Trent,Trent Sherfield,Sherfield,0.366666675,3,4500,MIA@ARI,ARI,MIA,,,
51377-64252,WR,Tony,Tony Brown,Brown,0,1,4500,NYG@WAS,WAS,NYG,,,
51377-86780,RB,Salvon,Salvon Ahmed,Ahmed,0,1,4500,MIA@ARI,MIA,ARI,,,
51377-56064,RB,Bo,Bo Scarbrough,Scarbrough,0,1,4500,DET@MIN,DET,MIN,,,
51377-96001,RB,Sirgeo,Sirgeo Hoffman,Hoffman,0,2,4500,MIA@ARI,ARI,MIA,,,
51377-85762,RB,Eno,Eno Benjamin,Benjamin,0,2,4500,MIA@ARI,ARI,MIA,,,
51377-69383,WR,Dezmon,Dezmon Patmon,Patmon,0,1,4500,BAL@IND,IND,BAL,,,
51377-45835,WR,Da'Mari,Da'Mari Scott,Scott,0,1,4500,NYG@WAS,NYG,WAS,IR,Opt out,
51377-26384,RB,Trey,Trey Edmunds,Edmunds,0,1,4500,PIT@DAL,PIT,DAL,,,
51377-61200,WR,Jaylinn,Jaylinn Hawkins,Hawkins,0,1,4500,DEN@ATL,ATL,DEN,,,
51377-33557,TE,Tyler,Tyler Eifert,Eifert,2.971428462,7,4500,HOU@JAC,JAC,HOU,,,
51377-56099,RB,Cullen,Cullen Gillaspia,Gillaspia,0.550000012,2,4500,HOU@JAC,HOU,JAC,,,
51377-31524,WR,Cody,Cody Core,Core,0,1,4500,NYG@WAS,NYG,WAS,IR,Achilles,
51377-33578,RB,Jalen,Jalen Richard,Richard,3.800000054,7,4500,LV@LAC,LV,LAC,,,
51377-82731,WR,Brandon,Brandon Zylstra,Zylstra,0.299999992,3,4500,CAR@KC,CAR,KC,,,
51377-55088,WR,Malik,Malik Turner,Turner,0,1,4500,PIT@DAL,DAL,PIT,,,
51377-27441,RB,Damien,Damien Williams,Williams,11.46363622,11,4500,CAR@KC,KC,CAR,IR,Opt out,
51377-65331,RB,Sutton,Sutton Smith,Smith,0,1,4500,SEA@BUF,SEA,BUF,,,
51377-71477,WR,Maurice,Maurice Ffrench,Ffrench,0,0,4500,CAR@KC,KC,CAR,,,
51377-41806,WR,Laquon,Laquon Treadwell,Treadwell,0,1,4500,DEN@ATL,ATL,DEN,,,
51377-73551,WR,Stantley,Stantley Thomas-Oliver III,Thomas-Oliver III,0,2,4500,CAR@KC,CAR,KC,,,
51377-28502,WR,Devin,Devin Smith,Smith,6.599999746,3,4500,HOU@JAC,HOU,JAC,,,
51377-63319,WR,K.J.,K.J. Hill,Hill,0.65999999,5,4500,LV@LAC,LAC,LV,,,
51377-104282,RB,Wes,Wes Hills,Hills,0,1,4500,DET@MIN,DET,MIN,,,
51377-44893,RB,Roosevelt,Roosevelt Nix,Nix,0,1,4500,BAL@IND,IND,BAL,,,
51377-104284,RB,Bruce,Bruce Anderson III,Anderson III,0,1,4500,BAL@IND,IND,BAL,,,
51377-71521,RB,Justice,Justice Hill,Hill,0,1,4500,BAL@IND,BAL,IND,,,
51377-63330,RB,Mike,Mike Weber,Weber,0,0,4500,CAR@KC,KC,CAR,,,
51377-70501,RB,C.J.,C.J. Ham,Ham,0.480000019,5,4500,DET@MIN,MIN,DET,,,
51377-32613,RB,DeAndre,DeAndre Washington,Washington,1.200000048,1,4500,MIA@ARI,MIA,ARI,IR,Undisclosed,
51377-64357,WR,Michael,Michael Walker,Walker,0,2,4500,HOU@JAC,JAC,HOU,,,
51377-104297,WR,Jason,Jason Moore,Moore,0,1,4500,LV@LAC,LAC,LV,,,
51377-31602,WR,Fred,Fred Brown,Brown,0,1,4500,DEN@ATL,DEN,ATL,,,
51377-57208,WR,KeeSean,KeeSean Johnson,Johnson,1.100000024,4,4500,MIA@ARI,ARI,MIA,,,
51377-93055,WR,Isaiah,Isaiah Hodgins,Hodgins,0,0,4500,SEA@BUF,BUF,SEA,IR,Shoulder,
51377-28545,RB,Rod,Rod Smith,Smith,0,1,4500,NYG@WAS,NYG,WAS,,,
51377-41857,RB,Dalyn,Dalyn Dawkins,Dawkins,1.299999952,2,4500,DET@MIN,DET,MIN,,,
51377-64389,WR,Nick,Nick Westbrook-Ikhine,Westbrook-Ikhine,1.066666683,3,4500,CHI@TEN,TEN,CHI,,,
51377-43912,WR,Chad,Chad Beebe,Beebe,1.799999952,4,4500,DET@MIN,MIN,DET,,,
51377-56203,RB,Jon,Jon Hilliman,Hilliman,0,1,4500,NYG@WAS,NYG,WAS,,,
51377-45964,WR,Marcus,Marcus Kemp,Kemp,1.600000024,1,4500,CAR@KC,KC,CAR,,,
51377-64401,RB,Saquon,Saquon Barkley,Barkley,4.133333206,3,4500,NYG@WAS,NYG,WAS,IR,Knee - acl,
51377-64405,WR,Dan,Dan Chisena,Chisena,0,0,4500,DET@MIN,MIN,DET,,,
51377-63383,RB,Jordan,Jordan Scarlett,Scarlett,0,2,4500,CAR@KC,CAR,KC,,,
51377-40857,RB,Peyton,Peyton Barber,Barber,3.5,6,4500,NYG@WAS,WAS,NYG,,,
51377-71578,RB,Artavis,Artavis Pierce,Pierce,0,2,4500,CHI@TEN,CHI,TEN,,,
51377-63399,WR,Terry,Terry Godwin,Godwin,0,2,4500,HOU@JAC,JAC,HOU,,,
51377-25513,WR,Darius,Darius Jennings,Jennings,0,1,4500,LV@LAC,LAC,LV,,,
51377-54186,WR,A.J.,A.J. Richardson,Richardson,0,2,4500,MIA@ARI,ARI,MIA,,,
51377-63403,RB,Tae,Tae Crowder,Crowder,3,2,4500,NYG@WAS,NYG,WAS,IR,Hamstring,
